,Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
172,2010,Europe,Portugal,1.0,91.9,1.0,1.0,1.0,1.0,1.0,7.5
173,2010,Latin America-Caribbean,Puerto Rico,1.0,96.7,1.0,1.0,1.0,1.0,1.0,1.9
174,2010,Middle East-North Africa,Qatar,3.1,13.8,1.0,13.8,1.0,67.7,1.0,1.0
175,2010,Sub-Saharan Africa,Reunion,1.0,87.6,1.0,4.5,1.0,4.2,1.1,2.0
176,2010,Europe,Romania,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0
177,2010,Europe,Russia,1.0,73.3,1.0,1.0,1.0,10.0,1.0,16.2
178,2010,Sub-Saharan Africa,Rwanda,1.0,93.4,1.0,1.0,1.0,1.8,1.0,3.6
179,2010,Sub-Saharan Africa,St. Helena,1.0,96.5,1.0,1.0,1.0,1.0,1.0,3.3
180,2010,Latin America-Caribbean,St. Kitts and Nevis,1.0,94.6,1.3,1.5,1.0,1.0,1.0,1.6
181,2010,Latin America-Caribbean,St. Lucia,1.0,91.1,1.0,1.0,1.0,1.0,2.0,6.0
182,2010,North America,St. Pierre and Miquelon,1.0,,1.0,1.0,1.0,1.0,1.3,
183,2010,Latin America-Caribbean,St. Vincent and the Grenadines,1.0,88.7,2.0,3.4,1.0,1.5,2.0,2.5
184,2010,Asia-Pacific,Samoa,1.0,,1.0,1.0,1.0,1.0,1.0,2.5
185,2010,Europe,San Marino,1.0,91.6,1.0,1.0,1.0,1.0,1.0,7.2
186,2010,Sub-Saharan Africa,Sao Tome and Principe,1.0,,2.9,1.0,1.0,1.0,2.4,12.6
187,2010,Middle East-North Africa,Saudi Arabia,,4.4,1.0,1.1,1.0,93.0,1.0,1.0
188,2010,Sub-Saharan Africa,Senegal,1.0,3.6,1.0,1.0,1.0,96.4,1.0,1.0
189,2010,Europe,Serbia,1.0,92.6,1.0,1.0,1.0,4.1,1.0,3.3
190,2010,Sub-Saharan Africa,Seychelles,1.0,94.0,1.0,,1.0,1.1,1.0,2.1
191,2010,Sub-Saharan Africa,Sierra Leone,1.0,20.9,1.0,1.0,1.0,78.0,1.0,1.0
192,2010,Asia-Pacific,Singapore,33.9,18.2,2.3,,1.0,14.3,9.7,16.4
193,2010,Europe,Slovakia,1.0,85.3,1.0,1.0,1.0,1.0,1.0,14.3
194,2010,Europe,Slovenia,1.0,78.4,1.0,1.0,1.0,3.6,1.0,
195,2010,Asia-Pacific,Solomon Islands,1.0,97.4,1.3,1.0,1.0,1.0,1.0,
196,2010,Sub-Saharan Africa,Somalia,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
197,2010,Sub-Saharan Africa,South Africa,1.0,81.2,1.0,1.1,1.0,1.7,1.0,14.9
